"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
0.993,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0171,0.9657,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0316,0.9369,0.0316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0489,0.9023,0.0489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0677,0.8647,0.0677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0869,0.8262,0.0869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1e-04,0.1059,0.7881,0.1059,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3e-04,0.124,0.7514,0.124,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6e-04,0.1411,0.7165,0.1411,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0013,0.1569,0.6836,0.1569,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0024,0.1712,0.6527,0.1712,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.004,0.1841,0.624,0.1841,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.006,0.1954,0.5972,0.1954,0.006,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0086,0.2052,0.5722,0.2052,0.0086,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0118,0.2136,0.549,0.2136,0.0118,1e-04,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0.0154,0.2207,0.5273,0.2207,0.0154,2e-04,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0.0195,0.2266,0.5071,0.2266,0.0195,3e-04,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0.024,0.2314,0.4883,0.2314,0.024,5e-04,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-04,0.0287,0.2351,0.4707,0.2351,0.0287,8e-04,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.0337,0.2379,0.4542,0.2379,0.0337,0.0013,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0.0388,0.24,0.4388,0.24,0.0388,0.0018,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.044,0.2413,0.4243,0.2413,0.044,0.0025,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0034,0.0492,0.242,0.4107,0.242,0.0492,0.0034,1e-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0044,0.0543,0.2422,0.3978,0.2422,0.0543,0.0046
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0.0057,0.0594,0.2419,0.3858,0.2419,0.0653
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0.007,0.0643,0.2412,0.3744,0.3128
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0.0086,0.069,0.2401,0.6818
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-04,0.0103,0.0736,0.9155
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-04,0.0121,0.987
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.9988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.9999
