"","year","age","value","groups","Age","Year"
"1",1990,4,0.00749876,"obs","4","1990"
"2",1990,5,0.00535624,"obs","5","1990"
"3",1990,6,0.00259833,"obs","6","1990"
"4",1990,7,0.00101613,"obs","7","1990"
"5",1990,8,0.00114422,"obs","8","1990"
"6",1990,9,0.00665372,"obs","9","1990"
"7",1990,10,0.115212,"obs","10","1990"
"8",1990,11,0.134419,"obs","11","1990"
"9",1990,12,0.0856861,"obs","12","1990"
"10",1990,13,0.113335,"obs","13","1990"
"11",1990,14,0.171284,"obs","14","1990"
"12",1990,15,0.138878,"obs","15","1990"
"13",1990,16,0.0423845,"obs","16","1990"
"14",1990,17,0.0148929,"obs","17","1990"
"15",1990,18,0.0549978,"obs","18","1990"
"16",1990,19,0.035179,"obs","19","1990"
"17",1990,20,0.0086986,"obs","20","1990"
"18",1990,21,0.0197196,"obs","21","1990"
"19",1990,22,0.00675761,"obs","22","1990"
"20",1990,23,0,"obs","23","1990"
"21",1990,24,0.0011716,"obs","24","1990"
"22",1990,25,0,"obs","25","1990"
"23",1990,26,0,"obs","26","1990"
"24",1990,27,0,"obs","27","1990"
"25",1990,28,0,"obs","28","1990"
"26",1990,29,0.000673625,"obs","29","1990"
"27",1990,30,0.032443,"obs","30","1990"
"28",1993,4,0.00431989,"obs","4","1993"
"29",1993,5,0.0576608,"obs","5","1993"
"30",1993,6,0.0937446,"obs","6","1993"
"31",1993,7,0.194239,"obs","7","1993"
"32",1993,8,0.0894061,"obs","8","1993"
"33",1993,9,0.119418,"obs","9","1993"
"34",1993,10,0.0307232,"obs","10","1993"
"35",1993,11,0.0320678,"obs","11","1993"
"36",1993,12,0.0199604,"obs","12","1993"
"37",1993,13,0.0481039,"obs","13","1993"
"38",1993,14,0.0216945,"obs","14","1993"
"39",1993,15,0.0387445,"obs","15","1993"
"40",1993,16,0.0449099,"obs","16","1993"
"41",1993,17,0.041586,"obs","17","1993"
"42",1993,18,0.0160985,"obs","18","1993"
"43",1993,19,0.0154782,"obs","19","1993"
"44",1993,20,0.00961773,"obs","20","1993"
"45",1993,21,0.0113435,"obs","21","1993"
"46",1993,22,0.00883019,"obs","22","1993"
"47",1993,23,0.00916354,"obs","23","1993"
"48",1993,24,0.014702,"obs","24","1993"
"49",1993,25,0.00915349,"obs","25","1993"
"50",1993,26,0.00689038,"obs","26","1993"
"51",1993,27,0.00305636,"obs","27","1993"
"52",1993,28,0.00546995,"obs","28","1993"
"53",1993,29,0.00262945,"obs","29","1993"
"54",1993,30,0.0509876,"obs","30","1993"
