"","year","length","value","groups","Length","Year"
"1",1984,21,0,"obs","21","1984"
"2",1984,22,0,"obs","22","1984"
"3",1984,23,0,"obs","23","1984"
"4",1984,24,0,"obs","24","1984"
"5",1984,25,0,"obs","25","1984"
"6",1984,26,0,"obs","26","1984"
"7",1984,27,0,"obs","27","1984"
"8",1984,28,0.00190337,"obs","28","1984"
"9",1984,29,0.000666625,"obs","29","1984"
"10",1984,30,0.00412583,"obs","30","1984"
"11",1984,31,0.00874351,"obs","31","1984"
"12",1984,32,0.014589,"obs","32","1984"
"13",1984,33,0.0142516,"obs","33","1984"
"14",1984,34,0.0358824,"obs","34","1984"
"15",1984,35,0.0480556,"obs","35","1984"
"16",1984,36,0.0607466,"obs","36","1984"
"17",1984,37,0.0656771,"obs","37","1984"
"18",1984,38,0.0901169,"obs","38","1984"
"19",1984,39,0.131168,"obs","39","1984"
"20",1984,40,0.139142,"obs","40","1984"
"21",1984,41,0.133804,"obs","41","1984"
"22",1984,42,0.104611,"obs","42","1984"
"23",1984,43,0.0613955,"obs","43","1984"
"24",1984,44,0.0367733,"obs","44","1984"
"25",1984,45,0.0218938,"obs","45","1984"
"26",1984,46,0.0126077,"obs","46","1984"
"27",1984,47,0.00675974,"obs","47","1984"
"28",1984,48,0.00411808,"obs","48","1984"
"29",1984,49,0.00157144,"obs","49","1984"
"30",1984,50,0.000474263,"obs","50","1984"
"31",1984,51,0,"obs","51","1984"
"32",1984,52,0.0009224,"obs","52","1984"
"33",1987,21,0.0003893,"obs","21","1987"
"34",1987,22,0.00116791,"obs","22","1987"
"35",1987,23,0.000778612,"obs","23","1987"
"36",1987,24,0,"obs","24","1987"
"37",1987,25,0.0003893,"obs","25","1987"
"38",1987,26,0.00148164,"obs","26","1987"
"39",1987,27,0,"obs","27","1987"
"40",1987,28,0,"obs","28","1987"
"41",1987,29,0.000215363,"obs","29","1987"
"42",1987,30,0.00138328,"obs","30","1987"
"43",1987,31,0.0011476,"obs","31","1987"
