"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
0.9829,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0297,0.9407,0.0297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0446,0.9108,0.0446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0609,0.8781,0.0609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0779,0.8442,0.0779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0949,0.8102,0.0949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1e-04,0.1114,0.7769,0.1114,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3e-04,0.1273,0.7448,0.1273,3e-04,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7e-04,0.1422,0.7142,0.1422,7e-04,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0013,0.1562,0.6851,0.1562,0.0013,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0022,0.169,0.6577,0.169,0.0022,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0035,0.1806,0.6318,0.1806,0.0035,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0051,0.1911,0.6076,0.1911,0.0051,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0072,0.2004,0.5848,0.2004,0.0072,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0098,0.2085,0.5634,0.2085,0.0098,1e-04,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0127,0.2156,0.5433,0.2156,0.0127,1e-04,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0.016,0.2216,0.5244,0.2216,0.016,2e-04,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0.0196,0.2267,0.5067,0.2267,0.0196,3e-04,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0.0236,0.231,0.49,0.231,0.0236,5e-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-04,0.0277,0.2344,0.4743,0.2344,0.0285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0321,0.2371,0.4594,0.2703
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0366,0.2392,0.7227
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.0411,0.9567
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0028,0.9972
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.9999
