"year","biomass","se","lci","uci","pred"
1990,13032,2262,8598.48,17465.52,20358.2
1993,36132,5914,24540.56,47723.44,23410.2
1996,36044,6269,23756.76,48331.24,29391.6
1999,34346,6475,21655,47037,36187.3
2001,42086,8875,24691,59481,37962.5
2003,49970,8413,33480.52,66459.48,41508.6
2005,75852,11492,53327.68,98376.32,45799.5
2007,52225,8373,35813.92,68636.08,50367.2
2009,42053,6991,28350.64,55755.36,52126.3
2011,43388,8143,27427.72,59348.28,52276.6
2013,62049,11280,39940.2,84157.8,50759.7
2015,60796,10080,41039.2,80552.8,49973.1
2017,63808,11281,41697.24,85918.76,50790.5
